event_id,disaster_type,country,region,latitude,longitude,start_date,end_date,affected_population,deaths,economic_damage_usd,risk_level,,,
1,Flood,India,Assam,26.2006,92.9376,6/10/2022,6/18/2022,150000,120,25000000,High,,,
2,Cyclone,India,Odisha,20.9517,85.0985,5/15/2021,5/20/2021,200000,85,40000000,High,,,
3,Earthquake,Nepal,Kathmandu,27.7172,85.324,4/25/2015,4/25/2015,8000000,8900,10000000000,High,,,
4,Flood,Bangladesh,Dhaka,23.8103,90.4125,7/5/2020,7/15/2020,500000,50,15000000,Medium,,,
5,Heatwave,India,Rajasthan,27.0238,74.2179,5/10/2019,5/18/2019,100000,40,2000000,Medium,,,
6,Landslide,India,Himachal Pradesh,31.1048,77.1734,8/14/2023,8/15/2023,2000,15,500000,Low,,,
7,Drought,India,Maharashtra,19.7515,75.7139,3/1/2018,9/1/2018,3000000,5,100000000,Medium,,,
8,Wildfire,Australia,New South Wales,-31.2532,146.9211,1/1/2020,2/10/2020,25000,34,300000000,High,,,
9,Storm,USA,Florida,27.6648,-81.5158,9/1/2022,9/3/2022,100000,12,80000000,Medium,,,  
10,Tsunami,Japan,Tohoku,38.2682,140.8694,3/11/2011,3/11/2011,470000,15899,2.35E+11,High,,,
