facility_id,facility_type,name,region,latitude,longitude,capacity
1,Hospital,Assam Medical College,Assam,26.2006,92.9376,800
2,Shelter,Bhubaneswar Relief Center,Odisha,20.2961,85.8245,2000
3,Hospital,Gorkha District Hospital,Gorkha,28.1475,84.7080,300
4,Shelter,Mumbai Emergency Shelter,Maharashtra,19.0760,72.8777,5000
5,Hospital,Sylhet Medical College,Sylhet,24.8949,91.8687,1000
6,FireStation,Sydney Fire Station,New South Wales,-33.8688,151.2093,200
7,Hospital,Shimla Regional Hospital,Himachal Pradesh,31.1048,77.1734,450
8,Shelter,Florida Storm Shelter,Florida,27.6648,-81.5158,3500
9,Hospital,Patna Medical College,Bihar,25.0961,85.3131,900
10,Shelter,Jaipur Disaster Shelter,Rajasthan,26.9124,75.7873,3000
